TAAK_TAAKID,TAAK_OMSCHRIJVING,AUFNR,VARIANTID
9659_ASAP,Inzichtelijk maken kosten,101000090506,32
9659_ASAP,Inzichtelijk maken kosten,101000090569,33
9659_ASAP,Inzichtelijk maken kosten,101000090658,33
9659_ASAP,Inzichtelijk maken kosten,101000090930,46
9659_ASAP,Inzichtelijk maken kosten,101000090960,33
9659_ASAP,Inzichtelijk maken kosten,101000091126,19
9659_ASAP,Inzichtelijk maken kosten,101000091128,46
9659_ASAP,Inzichtelijk maken kosten,101000091225,46
9659_ASAP,Inzichtelijk maken kosten,101000091272,19
9659_ASAP,Inzichtelijk maken kosten,101000091355,46
9659_ASAP,Inzichtelijk maken kosten,101000091379,19
9659_ASAP,Inzichtelijk maken kosten,101000091719,19
9659_ASAP,Inzichtelijk maken kosten,101000091888,34
9659_ASAP,Inzichtelijk maken kosten,101000091955,19
9659_ASAP,Inzichtelijk maken kosten,101000092149,46
9659_ASAP,Inzichtelijk maken kosten,101000092194,34
9659_ASAP,Inzichtelijk maken kosten,101000092224,46
9659_ASAP,Inzichtelijk maken kosten,101000092264,33
9659_ASAP,Inzichtelijk maken kosten,101000092414,19
9659_ASAP,Inzichtelijk maken kosten,101000092419,32
9659_ASAP,Inzichtelijk maken kosten,101000092916,32
9659_ASAP,Inzichtelijk maken kosten,101000092919,32
9659_ASAP,Inzichtelijk maken kosten,101000093027,34
9659_ASAP,Inzichtelijk maken kosten,101000093080,32
9659_ASAP,Inzichtelijk maken kosten,101000093200,34
9659_ASAP,Inzichtelijk maken kosten,101000093370,19
9659_ASAP,Inzichtelijk maken kosten,101000093399,32
9659_ASAP,Inzichtelijk maken kosten,101000093505,32
9659_ASAP,Inzichtelijk maken kosten,101000093506,32
9659_ASAP,Inzichtelijk maken kosten,101000093509,32
9659_ASAP,Inzichtelijk maken kosten,101000093511,32
9659_ASAP,Inzichtelijk maken kosten,101000093604,32
9659_ASAP,Inzichtelijk maken kosten,101000093608,32
9659_ASAP,Inzichtelijk maken kosten,101000093609,32
9659_ASAP,Inzichtelijk maken kosten,101000093644,34
9659_ASAP,Inzichtelijk maken kosten,101000093731,19
9659_ASAP,Inzichtelijk maken kosten,101000093846,19
9659_ASAP,Inzichtelijk maken kosten,101000093943,33
9659_ASAP,Inzichtelijk maken kosten,101000094074,19
9659_ASAP,Inzichtelijk maken kosten,101000094774,34
9659_ASAP,Inzichtelijk maken kosten,101000094862,46
