PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000204044;PD226077;504015;;3981 CG;aardgasloos_renoveren_laagbouw_6_uur;KA1;G;PROCES;S05
000031017791;PD203358;503859;;3991 HL;;N06;E;PROJECT;S05
101000204066;PD226155;504250;X;3601 ST;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000203993;PD226156;862107;X;3059 XL;VERLICHT;KA1;E;PROCES;S03
000031018786;PD216376;503859;;3991 ML;;N06;E;PROJECT;S05
000031018785;PD216368;503859;;3991 HJ;;N06;E;PROJECT;S05
000031018777;PD216378;503859;;3991 LP;;N06;E;PROJECT;S05
000031018776;PD216372;503859;;3991 HK;;N06;E;PROJECT;S05
000031018755;PD216382;503859;;3991 LG;;N06;E;PROJECT;S05
000031018754;PD216377;503859;;3991 MD;;N06;E;PROJECT;S05
000031018753;PD216375;503859;;3991 MZ;;N06;E;PROJECT;S05
101000203956;PD226030;501360;;2742 KK;combi_laagbouw_groen;KA1;E;PROCES;S05
101000204069;PD226162;501108;X;2625 DS;cor_oranje;KA1;E;PROCES;S03
101000204070;PD226163;503400;X;3194 DD;verzwaren_zekeringwissel;KA1;E;PROCES;S01
000031019566;PD226168;501844;;2712 SH;;K15;E;PROJECT;S03
000031018752;PD216371;503859;;3991 HJ;;N06;E;PROJECT;S05
101000203994;PD226164;501108;X;2288 HB;cor_groen;KA1;E;PROCES;S03
000031018966;PD218143;503859;;3931 ZV;;N06;E;PROJECT;S05
101000204130;PD226165;501108;X;2625 DS;cor_oranje;KA1;E;PROCES;S03
101000204133;PD226169;603329;X;3343 LB;aardgasloos_renoveren_laagbouw_4_uur;KA1;E+G;PROCES;S01
000031019529;PD226172;501844;;3124 XC;;K15;E;PROJECT;S03
101000204071;PD226170;862107;X;3151 MB;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000194626;PD216641;602973;;2992 SZ;wb_>5_aanleg_e_t/m_1750kva_laagbouw_excl._net;KA1;E;PROJECT;S01
101000191785;PD213845;602973;;3081 TH;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_excl._net;KA1;E;PROJECT;S01
101000204134;PD226171;863935;X;3361 BX;cor_oranje;KA1;E;PROCES;S01
101000204072;PD226173;501108;X;2288 HB;cor_groen;KA1;E;PROCES;S03
101000203995;PD226174;501108;X;2288 HB;cor_groen;KA1;E;PROCES;S03
101000204074;PD226179;501108;X;2288 HR;cor_oranje;KA1;E;PROCES;S03
101000204137;PD226181;501108;X;2288 HR;cor_oranje;KA1;E;PROCES;S03
101000203997;PD226182;862107;X;3137 RG;verzwaren_vervangen_aansluitkast;KA1;E;PROCES;S03
101000204076;PD226184;763193;X;9254 JX;GASLOOS;KA1;G;PROCES;S05
101000204139;PD226185;503400;X;4241 XA;VERLICHT;KA1;E;PROCES;S01
101000204132;PD226167;503950;X;2801 RC;verplaatsen_laagbouw_oranje;KA1;E+G;PROCES;S05
101000204077;PD226191;765816;X;3927 DJ;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
101000204080;PD226194;603329;X;4206 CJ;GASLOOS;KA1;G;PROCES;S01
000031018771;PD216022;500216;;3605 BD;;K15;E;PROJECT;S05
101000204054;PD226110;501042;;2103 LR;LAADPAAL;KA1;E;PROCES;S02
101000203976;PD226107;501042;;2102 CC;LAADPAAL;KA1;E;PROCES;S02
101000204110;PD226102;501042;;2106 CL;LAADPAAL;KA1;E;PROCES;S02
101000204083;PD226200;750549;X;2611 LA;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000203776;PD225867;504015;;3612 AC;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000204143;PD226201;750549;X;2562 VT;verzwaren_compleet_vervangen;KA1;E+G;PROCES;S03
101000204046;PD226089;504015;;3823 VS;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000204085;PD226206;501065;X;3702 BT;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000204146;PD226207;862107;X;3121 AX;verzwaren_vervangen_aansluitkast;KA1;E;PROCES;S03
101000204088;PD226211;501065;X;3766 JX;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000204206;PD226214;501065;X;3755 VD;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000204150;PD226224;603329;X;3319 AX;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S01
101000204090;PD226225;501065;X;3812 DN;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000204151;PD226226;501065;X;3704 RS;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
